Variable,Insured,Isd,In,Voluntarily Uninsured,Vsd,Vn,Non-voluntarily Uninsured,Usd,Un,Overall,Osd,On,
male,   .429176, .49502016,      4017, .59210526, .49306802,       152, .55824176, .49686939,       910, .45717661, .49821183,      5079,
race_hispanic, .10282006, .30376163,      4007, .17333333, .37980332,       150, .10022026, .30045896,       908, .10444225, .30586359,      5065,
race_white, .68963795, .46269958,      4005, .67105263, .47138398,       152, .64459161, .47890125,       906, .68101916, .46612764,      5063,
race_black,  .2309613, .42150034,      4005, .24342105, .43056578,       152, .28918322, .45363358,       906,  .2417539, .42818824,      5063,
race_native, .03270911,  .1778964,      4005, .03947368, .19536276,       152, .04856512, .21507582,       906, .03574956, .18568343,      5063,
race_asian,   .039201, .19409711,      4005, .03289474,  .1789507,       152, .02207506, .14700885,       906, .03594707, .18617659,      5063,
race_other, .06142322, .24013498,      4005, .07894737, .27054803,       152, .06181015, .24094343,       906, .06201857, .24121309,      5063,
rent_own,  .4529148, .49784006,      4014, .28289474, .45189466,       152, .24613687, .43099715,       906, .41088328, .49204262,      5072,
inc1, .02147721, .14498775,      3818, .03875969, .19377422,       129,  .0479798, .21385856,       792, .02637687, .16027025,      4739,
inc2, .01859612,  .1351114,      3818,  .0620155,   .242124,       129, .04924242,  .2165105,       792, .02489977, .15583611,      4739,
inc3, .02566789, .15816321,      3818, .06976744, .25574788,       129, .08080808, .27271237,       792, .03608356, .18651777,      4739,
inc4,  .0243583, .15417912,      3818, .10077519, .30220443,       129,  .0770202, .26679198,       792,  .0352395, .18440405,      4739,
inc5, .04033525, .19677007,      3818, .06976744, .25574788,       129, .09343434, .29122406,       792, .05001055, .21798973,      4739,
inc6, .04688318, .21141632,      3818, .11627907, .32180902,       129, .09469697, .29298095,       792, .05676303, .23141367,      4739,
inc7, .10214772, .30288214,      3818, .10077519, .30220443,       129, .12878788, .33517668,       792, .10656257, .30858885,      4739,
inc8, .11917234, .32403363,      3818, .12403101, .33090199,       129, .13510101, .34204744,       792, .12196666, .32728183,      4739,
inc9, .26427449, .44100388,      3818, .18604651, .39066134,       129,  .1489899, .35630353,       792, .24287824, .42886736,      4739,
inc10, .16422211, .37052552,      3818, .07751938, .26845633,       129,  .0770202, .26679198,       792, .14728846, .35443064,      4739,
inc11, .11471975, .31872517,      3818, .03100775, .17401439,       129, .04040404, .19702936,       792,  .1000211, .30005979,      4739,
inc12, .05814563, .23404927,      3818, .02325581, .15130248,       129, .02651515, .16076296,       792, .05190969, .22186811,      4739,
