insur3x,insur3p1,insur3p2,insur3p3,ins3lp1,ins3lp2,ins3lp3,ins3hp1,ins3hp2,ins3hp3
1,.8752123,.0091225,.1156652,.8323001,.0072012,.1604987,.8923707,.0102204,.0974089
1.4,.8703992,.0100373,.1195635,.8264385,.007911,.1656505,.8879957,.0112521,.1007523
1.8,.8653967,.011041,.1235623,.8203912,.0086884,.1709205,.8834298,.0123848,.1041854
2.2,.8601967,.012142,.1276613,.8141534,.0095394,.1763072,.8786637,.0136282,.1077081
2.6,.8547912,.013349,.1318598,.8077202,.0104706,.1818091,.8736878,.0149923,.1113199
3,.8491717,.0146718,.1361566,.8010869,.0114892,.1874239,.8684918,.0164883,.1150199
3.4,.8433293,.0161206,.1405501,.7942483,.0126027,.193149,.8630651,.0181281,.1188069
3.8,.8372551,.0177068,.1450382,.7871995,.0138194,.1989811,.8573965,.0199245,.1226791
4.2,.8309394,.0194423,.1496183,.7799355,.0151482,.2049163,.8514743,.0218914,.1266342
4.6,.8243726,.0213403,.1542871,.7724514,.0165986,.2109501,.8452866,.0240438,.1306695
5,.8175448,.0234145,.1590408,.764742,.0181807,.2170772,.8388208,.0263977,.1347815
